Topic,Source,Last Updated,Question,Answer
,Centers for Disease Control and Prevention,3/30/2021,Are there circumstances in healthcare settings when repeat testing for SARS-CoV-2 or quarantining might be considered for asymptomatic patients and residents who have recovered from SARS-CoV-2 infection but are re-exposed to SARS-CoV-2 within 3 months of their prior infection?,"CDC currently recommends that asymptomatic patients and residents who have recovered and are within 3 months of a positive test for SARS-CoV-2 infection may not need to be quarantined or tested following re-exposure to SARS-CoV-2. However, there might be clinical scenarios in which the certainty about a prior infection or the durability of the immune response exist, for which providers could consider testing for SARS-CoV-2 and recommending quarantine following an exposure that occurs less than 3 months after their initial infection. Examples could include:Patients or residents with underlying immunocompromising conditions (e.g., patient after organ transplantation) or who become immune compromised (e.g., receive chemotherapy) in the 3 months following SARS-CoV-2 infection and who might have an increased risk for reinfection. However, data on which specific conditions may lead to higher risk and the magnitude of risk are not available.Patients or residents for whom there is concern that their initial diagnosis of SARS-CoV-2 infection might have been based on a false positive test result (e.g., resident was asymptomatic, antigen test positive, and a confirmatory nucleic acid amplification test (NAAT) was not performed).Patients or residents for whom there is evidence that they were exposed to a novel SARS-CoV-2 variant (e.g., exposed to a person known to be infected with a novel variant) for which the risk of reinfection might be higherCDC continues to actively investigate the frequency of reinfection and the circumstances surrounding these episodes, including the role that new variants might play in reinfection, and will adjust guidance as necessary as more information becomes available."
,Centers for Disease Control and Prevention,3/30/2021,Do CDC's interim infection prevention and control recommendations for COVID-19 apply to psychiatric hospitals or other behavioral health facilities?,"Yes. To keep patients and healthcare personnel (healthcare providers) healthy and safe, CDC's infection prevention and control guidance applies to all settings where healthcare is delivered. However, as with any guidance, facilities can tailor certain recommendations to their setting. For example, inpatient psychiatric care includes communal experiences and group activities that may need to continue. If so, these activities might need to be adapted to align with social distancing recommendations. Other recommended infection control measures (for example, ensuring access to alcohol-based hand sanitizer, cohorting patients with COVID-19 and assigning dedicated staff, or implementing universal source control measures) might not be safe or appropriate to implement in all locations or for all patients due to security and behavioral concerns.Challenges and potential solutions specific to behavioral health settings might include:CohortingChallenge: To prevent transmission, it is generally recommended that patients with COVID-19 be transferred to a separate area of the facility where they can be cared for by dedicated healthcare providers. Because of security concerns or specialized care needs, it might not be possible to cohort certain patients together or change healthcare providers assigned to their care.Potential Solutions: When cohorting is not possible, implement measures to maintain social distancing (at least 6 feet) between patients with COVID-19 and others on the unit. Ideally, this would include a separate bathroom for COVID-19 patients. Ensure healthcare providers wear all recommended personal protective equipment (PPE) when caring for patients with suspected or confirmed COVID-19.Group Therapy SessionsChallenge: Group counseling, therapy, and discussion sessions are a critical component of psychiatrictreatment and care plans, but the traditional set-up for these activities is not compatible with social distancing recommendations.Potential Solutions: When possible, use virtual methods, or decrease group size so social distancing can be maintained. In the event that COVID-19 is transmitted in the facility, sessions should stop or move to a video discussion forum until additional infection prevention measures are in place to stop the spread.Cloth Face CoveringsChallenge: For some patients, the use of cloth face coverings or facemasks might pose an additional danger or may cause distress. Some patients may be unable or unwilling to use them as intended. Elastic and cloth straps can be used for strangling oneself or others, and metal nasal bridges can be used for self-harm or as a weapon.Potential Solutions: Consider allowing patients at low risk for misuse to wear cloth face coverings or facemasks, with a preference for those with short ear-loops rather than longer ties. Consider use of cloth face coverings or facemasks during supervised group activities. Ensure that healthcare providers interacting with patients who cannot wear a cloth face covering or facemask are wearing eye protection and a facemask (or a respirator if the patient is suspected to have COVID-19 and respirators are available).Alcohol-based Hand SanitizerChallenge: While alcohol-based hand sanitizer (ABHS) containing 60-95% alcohol is an important tool to increase adherence to hand hygiene recommendations, ABHS must be used carefully in psychiatric facilities to ensure it is not ingested by patients.Potential Solutions: Consider not placing ABHS in patients' rooms in psychiatric facilities, nor in locations where the patients have unsupervised access. Encourage frequent hand washing with soap and water for patients and healthcare providers. Consider providing personal, pocket-sized ABHS dispensers for healthcare providers.DiningChallenge: As part of social distancing, communal dining is generally not recommended. However, eating needs to remain supervised due to the potential for self-harm with eating utensils and because commonly used psychiatric medications may cause side effects (e.g., tardive dyskinesia, dysphagia, hypo- and hypersalivation) that increase choking risk for patients.Potential Solutions: One option is to position staff in patients' rooms to monitor their dining. Another option is to allow communal dining in shifts so that staff can monitor patients while ensuring they remain at least 6 feet apart. A third option is to have patients sit in appropriately spaced chairs in the hallway outside their rooms so they can be monitored while they eat.SmokingChallenge: A higher proportion of psychiatric patients smoke cigarettes compared to the general population. Patients might congregate in outdoor smoking spaces without practicing appropriate social distancing.Potential Solutions: Limit the number of patients allowed to access smoking spaces at the same time, and position staff to observe and ensure patients are practicing appropriate physical distancing."
,Centers for Disease Control and Prevention,3/30/2021,"If a long-term care facility has a resident or staff member with suspected or confirmed COVID-19, how and to whom should this be communicated?","Facilities should follow the reporting requirements of their state or jurisdiction. Those regulated by the Centers for Medicare and Medicaid Services (CMS) (e.g., nursing homes) should also follow all CMS requirements, which are being updated to include new requirements for reporting to CDC and to residents and their representatives.In addition, CDC recommends that health departmentsbe promptly notified about:Residents or healthcare personnel (healthcare providers) with suspected or confirmed COVID-19,Residents with severe respiratory infection resulting in hospitalization or death, and residents or healthcare providers with new-onset respiratory symptoms within 72 hours of each other.These could signal an outbreak of COVID-19 or other respiratory disease in the facility. The health department can provide important guidance to assist with case finding and halting transmission.The facility should also have a plan and mechanism to regularly communicate with residents, family members, and healthcare providers, including if cases of COVID-19 are identified in the facility. Often, information in nursing homes is communicated through town hall meetings and staff meetings, along with letters or emails. However, during the COVID-19 pandemic, in-person gatherings should not occur. Instead, communication should occur through virtual meetings over phone or web platforms. These should be supplemented with written communications that provide contact information for a staff member who can respond to questions or concerns. Communications should include information describing the current situation, plans for limiting spread within the facility, and recommended actions they can take to protect themselves and others. Facilities should make this information available in a timely manner and offer periodic updates as the situation develops and more information becomes available."
,Centers for Disease Control and Prevention,3/30/2021,"Is a negative test for SARS-CoV-2, the virus that causes COVID-19, required before a hospitalized patient can be discharged to a nursing home?","No. For patients hospitalized with SARS-CoV-2 infection, decisions about discharge from the hospital should be based on their clinical status and the ability of an accepting facility to meet their care needs and adhere to recommended infection prevention and control practices. Decisions about hospital discharge are distinct from decisions about discontinuation of Transmission-Based Precautions.For patients with suspected or confirmed SARS-CoV-2 infection, decisions about discontinuing Transmission-Based Precautions should be based on the strategies outlined here. The test-based strategy is recommended only for use in limited circumstances.If a patient with suspected or confirmed SARS-CoV-2 infection has not met criteria for discontinuing Transmission-Based Precautions, they should be transferred to a facility with the ability to adhere to infection prevention and control recommendationsfor the care of residents with SARS-CoV-2 infection, including placement in a unit or area of the facility designated to care for residents with SARS-CoV-2 infection and provision of recommended personal protective equipment to healthcare personnel.If the patient has met the criteria for discontinuing Transmission-Based Precautions, they do not require additional restrictions.A patient hospitalized for non-COVID-related illnesses who is not known to have SARS-CoV-2 infection can be transferred to a nursing home without testing. To ensure a patient was not exposed and might subsequently develop SARS-CoV-2 infection, nursing homes should place the patient in Transmission-based Precautionsin a separate observation area or in a single-person room for 14 days after admission.As part of universal source control measures, all residents (including those described in the scenarios above) should wear a cloth face covering or facemask (if tolerated) whenever they leave their room."
,Centers for Disease Control and Prevention,3/30/2021,"During the COVID-19 pandemic, are there special considerations for surgical and other procedural care settings, including performance of aerosol-generating procedures (AGPs)?","As part of routine practices, healthcare personnel (healthcare providers) should be applying Standard Precautions. healthcare providers should always deliberately assess potential risks of exposure to infectious material before engaging in activities and procedures in healthcare delivery. Based on their risk assessment, safe work practices, including engineering controls that reduce the release of infectious material, administrative controls,and use of personal protective equipment (PPE) should be implemented at the point of care according to CDC guidelines and standards of practice for the activity performed.To reduce SARS-CoV-2 exposure during the COVID-19 pandemic, CDC recommends that facilities:consider nonoperative approaches when feasible;minimize the use of procedures or techniques that might produce infectious aerosols when feasible;minimize the number of people in the operating or procedure room to reduce exposures;use the extent of community transmission and an assessment of the likelihood for patient harm if care is delayed to make decisions about cancelling or postponing elective surgeries and procedures; andimplement universal source control measures, which includes having patients wear a cloth face covering (as tolerated) and having healthcare providers wear a facemask at all times while they are in the healthcare facility.If surgery or procedures cannot be postponed, healthcare providers caring for patients with suspected or confirmed COVID-19 should adhere to all recommended infection prevention and control practices for COVID-19. This includes:Using all recommended PPE: an N95 or equivalent or higher-level respirator (or facemask if respirators are not available), eye protection, gloves, and a gown.Respirators with exhalation valves should not be used during surgical procedures as unfiltered exhaled breath would compromise the sterile field.If shortages exist, N95 or equivalent or higher-level respirators should be prioritized for procedures involving higher risk techniques (e.g., that generate potentially infectious aerosols) or that involve anatomic regions where viral loads might be higher (e.g., nose and throat, oropharynx, respiratory tract).As part of routine practice, healthcare providers should also be using additional engineering controls for source control, when applicable (e.g., smoke evacuation devices).Because SARS-CoV-2 can be transmitted by individuals who are infected but do not have symptoms, some infected individuals will not be identified by screening for clinical signs and symptoms. healthcare providers providing surgical or procedural care to patients not suspected of having SARS-CoV-2 infection should use a tiered approach based on the level of community transmission to inform the need for universal eye protection and respirator use. healthcare providers should continue to use eye protection or an N95 or equivalent or higher-level respirator whenever recommended for patient care as a part of Standard or Transmission-Based Precautions.In addition to the use of universal PPE and source control in healthcare settings, targeted SARS-CoV-2 testing of patients without signs or symptoms of COVID-19 might be used to identify those with asymptomatic or pre-symptomatic SARS-CoV-2 infection and further reduce risk for exposures in some healthcare settings. Depending on guidance from local and state health departments, testing availability, and how rapidly results are available, facilities can consider implementing pre-admission or pre-procedure diagnostic testing with authorized nucleic acid or antigen detection assays for SARS-CoV-2.Testing results might inform decisions about rescheduling elective procedures or about the need for additional Transmission-Based Precautions when caring for the patient. Limitations of using this testing strategy include obtaining negative results in patients during their incubation period who later become infectious and false negative test results, depending on the test method used."
,Centers for Disease Control and Prevention,3/30/2021,Why does CDC continue to recommend respiratory protection equivalent or higher to the level provided by an N95 disposable filtering facepiece respirator for care of patients with known or suspected COVID-19?,"CDC's guidance to use NIOSH-approved N95 disposable filtering facepiece or higher level respirators when providing care for patients with suspected or known COVID-19 is based on the current understanding of SARS-CoV-2 and related respiratory viruses.Current data suggest that close-range aerosol transmission by droplet and inhalation, and contact followed by self-delivery to the eyes, nose, or mouth are likely routes of transmission. Long-range aerosol transmission, such as is seen with measles, has not been a feature of SARS-CoV-2.Potential routes of close-range transmission include splashes and sprays of infectious material onto mucous membranes and inhalation of infectious virions exhaled by an infected person. The relative contribution of each of these is not known for SARS-Co-V-2.Facemasks commonly used during surgical procedures will provide barrier protection against droplet sprays contacting mucous membranes of the nose and mouth, but they are not designed to protect wearers from inhaling small particles. N95 and higher level respirators, such as other disposable filtering facepiece respirators, powered air-purifying respirators (PAPRs), and elastomeric respirators, provide both barrier and respiratory protection because of their tight fit and filtration characteristics.Respirators should be used as part of a respiratory protection program that provides staff with medical evaluations, training, and fit testing.Although facemasks are routinely used for the care of patients with common viral respiratory infections, N95 or higher level respirators are routinely recommended for emerging pathogens like SARS CoV-2, which have the potential for transmission via small particles, the ability to cause severe infections, and no specific treatments or vaccines.CDC recommendations acknowledge the current challenges with limited supplies of N95s and other respirators. Facilities that do not have sufficient supplies of N95s and other respirators for all patient care should prioritize their use for activities and procedures that pose high risks of generating infectious aerosols and use facemasks for care that does not involve those activities or procedures. Detailedstrategies for optimizing the supply of N95 respiratorsare available on the CDC website. Once availability of supplies is reestablished, the guidance states that the use of N95 and higher level respirators should resume."
,Centers for Disease Control and Prevention,3/30/2021,"What personal protective equipment (PPE) should be worn by individuals transporting patients with suspected or confirmed SARS-CoV-2 infection within a healthcare facility? For example, what PPE should be worn when transporting the patient to radiology for imaging that cannot be performed in the patient room?","In general, transport and movement of a patient with suspected or confirmed SARS-CoV-2 infection outside of their room should be limited to medically essential purposes. If being transported outside of the room, such as to radiology, healthcare personnel (healthcare providers) in the receiving area should be notified in advance of transporting the patient. For transport, the patient should wear a facemask or cloth face covering (if tolerated) to contain secretions and be covered with a clean sheet.If transport personnel must prepare the patient for transport (e.g., transfer them to the wheelchair or gurney), transport personnel should wearall recommended PPE(gloves, a gown, respiratory protection that is at least as protective as a fit tested NIOSH-certified disposable N95 filtering facepiece respirator or facemaskif a respirator is not availableand eye protection [i.e., goggles or disposable face shield that covers the front and sides of the face]). This recommendation is needed because these interactions typically involve close, often face-to-face, contact with the patient in an enclosed space (e.g., patient room). Once the patient has been transferred to the wheelchair or gurney (and prior to exiting the room), transporters should remove their gown and gloves and perform hand hygiene.The transporter should continue to wear a respirator or facemask. The continued use of eye protection by the transporter is also recommended if there is potential that the patient might not be able to tolerate their facemask or cloth face covering for the duration of transport. Additional PPE should not be required unless there is an anticipated need to provide medical assistance during transport (e.g., helping the patient replace a dislodged facemask).After arrival at their destination, receiving personnel (e.g., in radiology) and the transporter (if assisting with transfer) should perform hand hygiene and wearall recommended PPE. If still wearing their original respirator or facemask and eye protection, the transporter should take care to avoid self-contamination when donning the remainder of the recommended PPE. This cautious approach will be refined and updated as more information becomes available and as response needs change in the United States.Interim guidance for EMS personnel transporting patients with confirmed or suspected SARS-CoV-2 infection isavailable here. EMS personnel should wear all recommended PPE because they are providing direct medical care and in close contact with the patient for longer periods of time."
,Centers for Disease Control and Prevention,3/30/2021,What personal protective equipment (PPE) should be worn by environmental services (EVS) personnel who clean and disinfect rooms of hospitalized patients with SARS-CoV-2 infection?,"In general, only essential personnel should enter the room of patients with SARS-CoV-2 infection. Healthcare facilities should consider assigning daily cleaning and disinfection of high-touch surfaces to nursing personnel who will already be in the room providing care to the patient. If this responsibility is assigned to EVS personnel, they should wear allrecommended PPEwhen in the room. PPE should be removed upon leaving the room, immediately followed by performance of hand hygiene.After discharge, terminal cleaning can be performed by EVS personnel. They should delay entry into the room until time has elapsed for enough air changes to remove potentially infectious particles. After this time has elapsed, EVS personnel can enter the room and should wear a facemask(for source control) along with a gown and gloves when performing terminal cleaning. Eye protection should be added if splashes or sprays during cleaning and disinfection activities are anticipated or otherwise required based on the selected cleaning products. Shoe covers are not recommended at this time for personnel caring for patients with SARS-CoV-2 infection."
,Centers for Disease Control and Prevention,3/30/2021,Which procedures are considered aerosol generating procedures in healthcare settings?,"Some procedures performed on patients are more likely to generate higher concentrations of infectious respiratory aerosols than coughing, sneezing, talking, or breathing. These aerosol generating procedures (AGPs) potentially put healthcare personnel and others at an increased risk for pathogen exposure and infection.Development of a comprehensive list of AGPs for healthcare settings has not been possible, due to limitations in available data on which procedures may generate potentially infectious aerosols and the challenges in determining if reported transmissions during AGPs are due to aerosols or other exposures.There is neither expert consensus, nor sufficient supporting data, to create a definitive and comprehensive list of AGPs for healthcare settings.Commonly performed medical procedures that are often considered AGPs, or that create uncontrolled respiratory secretions, include:open suctioning of airwayssputum inductioncardiopulmonary resuscitationendotracheal intubation and extubationnon-invasive ventilation (e.g., BiPAP, CPAP)bronchoscopymanual ventilationBased on limited available data, it is uncertain whether aerosols generated from some procedures may be infectious, such as:nebulizer administration*high flow O2 delivery*Aerosols generated by nebulizers are derived from medication in the nebulizer. It is uncertain whether potential associations between performing this common procedure and increased risk of infection might be due to aerosols generated by the procedure or due to increased contact between those administering the nebulized medication and infected patients."
,Centers for Disease Control and Prevention,3/30/2021,How long does an examination room need to remain vacant after being occupied by a patient with confirmed or suspected COVID-19?,"Although spread of SARS-CoV-2 is believed to be primarily via respiratory droplets, the contribution of small respirable particles to close proximity transmission is currently uncertain. Airborne transmission from person-to-person over long distances is unlikely.The amount of time that the air inside an examination room remains potentially infectious is not known and may depend on a number of factors including the size of the room, the number of air changes per hour, how long the patient was in the room, if the patient was coughing or sneezing, and if an aerosol-generating procedure was performed. Facilities will need to consider these factors when deciding when the vacated room can be entered by someone who is not wearing PPE.For a patient who was not coughing or sneezing, did not undergo an aerosol-generating procedure, and occupied the room for a short period of time (e.g., a few minutes), any risk to healthcare providers and subsequent patients likely dissipates over a matter of minutes. However, for a patient who was coughing and remained in the room for a longer period of time or underwent an aerosol-generating procedure, the risk period is likely longer.For these higher risk scenarios, it is reasonable to apply a similar time period as that used for pathogens spread by the airborne route (e.g., measles, tuberculosis) and to restrict healthcare providers and patients without PPE from entering the room until sufficient time has elapsed for enough air changes to remove potentially infectious particles.General guidance onclearance rates under differing ventilation conditionsis available.In addition to ensuring sufficient time for enough air changes to remove potentially infectious particles, healthcare providers should clean and disinfect environmental surfaces and shared equipment before the room is used for another patient."
,Centers for Disease Control and Prevention,3/30/2021,"My hospital is experiencing a shortage of isolation gowns. To preserve our supply, can we stop using gowns for the care of patients with methicillin-resistant Staphylococcus aureus (MRSA) and other endemic multidrug-resistant organisms (MDROs), and Clostridioides difficile?","CDC has released information aboutstrategies to optimize the supply of isolation gowns. Healthcare facilities should refer to that guidance and implement the recommended strategies to optimize their current supply of gowns. This includes shifting toward the use of washable cloth gowns, if feasible.The use of gowns as part of Contact Precautions in the context of MDROs has been implemented primarily to reduce the risk of transmission to other patients rather than to protect healthcare personnel (healthcare providers). Facilities with shortages could consider suspending the use of gowns for the care of patients with endemic MDROs, such as MRSA, VRE, and ESBL-producing Gram-negative bacilli except as required forStandard Precautions. Facilities should assess their local epidemiology to determine which MDROs are considered endemic. Regardless of the use of gowns, healthcare providers at facilities should continue to wear gloves for contact with these patients and their environment. Hand hygiene should continue to be emphasized. Facilities should also attempt to place patients colonized or infected with an MDRO in a private room, if available.Caring for patients who have highly resistant Gram-negative organisms (e.g., carbapenem-resistant Enterobacteriacae) and other MDROs (e.g.,Candida auris) that are not considered endemic:Rather than gowns being donned for every room entry, they should be reserved for use as part of Standard Precautionsand also prioritized for high-contact patient care activities that pose highest risk for transfer of pathogens from the patient to healthcare providers. Examples of such high-contact care activities include dressing, bathing/showering, transferring, providing hygiene, changing linens, changing briefs or assisting with toileting, device care or use (central line, urinary catheter, feeding tube, tracheostomy/ventilator), and wound care. To further preserve gowns, healthcare providers are recommended to bundle high-contact care activities as part of individual care encounters. Regardless of the use of gowns, healthcare providers at facilities should continue to wear gloves for contact with these patients and their environment. Hand hygiene should continue to be emphasized. Facilities should also attempt to place patients colonized or infected with an MDRO in a private room, if available.Caring for patients withClostridioides difficileinfections (CDI):Facilities should continue using Contact Precautions (putting on a gown and gloves upon entry into the patient's room and placing the patient in a private room) for the care of symptomatic patients with CDI. As part of asupplemental strategy to prevent transmission of CDI, some facilities have implemented Contact Precautions for the care of patients at high risk for CDI who have asymptomatic carriage ofClostridioides difficile. There are limited data about the role of asymptomatic carriage in transmission of CDI. In this setting of a critical national shortage of gowns, facilities should consider suspending this approach until the shortage is addressed. Gowns should still be used as part of Standard Precautions."
,Centers for Disease Control and Prevention,3/30/2021,"A healthcare provider at our facility was recently diagnosed with COVID-19. What time period and criteria do we use to determine the patients, visitors, and other healthcare personnel (healthcare providers) who might have been exposed to this individual while he/she was potentially infectious?","Anyone who had prolonged close contact (within 6 feet for a cumulative total of 15 minutesor more over a 24-hour period) with the infected healthcare provider might have been exposed.If the provider had COVID-19 symptoms, the provider is considered potentially infectious beginning 2 days before symptoms first appeared until the provider meets criteria to discontinue Transmission-Based Precautions or Home Isolation.If the provider did not have symptoms, collecting information about when the provider may have been exposed could help inform the period when they were infectious.If an exposure is identified. The provider should be considered potentially infectious beginning 2 days after the exposure until criteria to discontinue Transmission-Based Precautions or Home Isolation are met.If the date of exposure cannot be determined. For the purposes of contact tracing, it is reasonable to use a cutoff of 2 days before the specimen testing positive for SARS-CoV-2 was collected as the starting point, continuing until the criteria to discontinue Transmission-Based Precautions or Home Isolation are met. Although the infectious period is generally accepted to be 10 days after onset of infection, eliciting contacts during the entire 10 days before obtaining the specimen that tested positive for SARS-CoV-2 is likely inefficient. In most situations an exposed provider cannot recall all contacts over the preceding 10 days. Also, because recent data suggest that asymptomatic persons may have a lower viral burden at diagnosis than symptomatic persons, the additional resources required may divert case investigation and contact tracing resources away from activities most likely to interrupt ongoing transmission.Contact tracing is generally recommended for anyone who had prolonged close contact with the person with SARS-CoV-2 infection during these time periods. While this question addresses exposure to a potentially infectious provider, the following actions are also recommended if the potentially infectious individual is a patient or visitor.Recommended actions for healthcare providers, patients, and visitors:Perform a risk assessment and apply work restrictions for other healthcare providers who were exposed to the infected provider based on whether these healthcare providers had prolonged, close contact and what PPE they were wearing. More detailed information is available in the Interim U.S. Guidance for Risk Assessment and Work Restrictions for Healthcare Personnel with Potential Exposure to COVID-19.Place exposed patients who are currently admitted to the healthcare facility in appropriate Transmission-Based Precautions and monitor them for onset of SARS-CoV-2 infection until 14 days after their last exposure.Contacts who are within 3 months of onset of prior SARS-CoV-2 infection might not require quarantine or testing if they remain asymptomatic.Perform contact tracing of exposed patients who are not currently admitted to the healthcare facility and for visitors as described in Health Departments: Interim Guidance on Developing a COVID-19 Case Investigation and Contact Tracing Plan.Healthcare facilities should have a process for notifying the health department about known or suspected cases of SARS-CoV-2 infection, and should establish a plan, in consultation with local public health authorities, for how exposures in a healthcare facility will be investigated and how contact tracing will be performed. The plan should address the following:Who is responsible for identifying contacts and notifying potentially exposed individuals?How will such notifications occur?What actions and follow-up are recommended for those who were exposed?Contact tracing should be carried out in a way that protects the confidentiality of affected individuals to the extent possible and is consistent with applicable laws and regulations. healthcare providers and patients who are currently admitted to the facility or were transferred to another healthcare facility should be prioritized for notification. These groups, if infected, have the potential to expose a large number of individuals at higher risk for severe disease, or in the situation of admitted patients, be at higher risk for severe illness themselves.Information for health departments about case investigation and contact tracing is available in the Health Departments: Interim Guidance on Developing a COVID-19 Case Investigation and Contact Tracing Plan. This guidance could also be helpful to healthcare facilities performing such activities."
,Centers for Disease Control and Prevention,3/30/2021,"A healthcare provider in our facility worked while infected with SARS-CoV-2. However, the provider wore a facemask at all times while interacting with patients. Are the patients at risk for SARS-CoV-2 and should they be notified?","Anyone who had prolonged close contact (within 6 feet for at least 15 minutes) should be considered potentially exposed. The use of a facemaskfor source control and adherence to other recommended infection prevention and control (IPC) measures (e.g., hand hygiene) by the provider help to reduce the risk of transmission or severe illness. In areas with moderate to substantial community transmission, patients are already at risk for exposure to SARS-CoV-2 due to exposures outside their home and should be alert to the development of signs or symptoms consistent with COVID-19.The following should be considered when determining which patients are at higher risk for transmission and might be prioritized for evaluation and testing:Facemask use by the patient - Mirroring the risk assessment guidance for healthcare personnel, patients not wearing a facemask would likely be at higher risk for infection compared to those that were wearing a facemask.Type of interaction that occurred between the patient and infected provider - An interaction involving manipulation or prolonged close contact with the patient's eyes, nose, or mouth (e.g., dental cleaning) likely poses higher risk of transmission to the patient compared to other interactions (e.g., blood pressure check).PPE used by infected healthcare providers - healthcare providers wearing a facemask(or respirator) and face shield that extends down below the chin might have had better source control than wearing only a facemask. Note that respirators with exhalation valves might not provide source control.Current status of patient - Is the patient currently admitted to a hospital or long-term care facility? These individuals, if infected, can be at higher risk for severe illness and have the potential to expose large numbers of individuals at risk for severe disease."
,Centers for Disease Control and Prevention,3/30/2021,"If healthcare personnel (healthcare providers) are living with someone who has been diagnosed with SARS-CoV-2 infection, should they be excluded from work? If so, for how long?","Yes. healthcare providers who have any kind of exposure for which home quarantine is recommended should be excluded from work:If healthcare providers are able to quarantine away from the infected individual living with them, they should quarantine at home and not come into work for 14 days following their last exposure to the infected individual.If healthcare providers are not able to quarantine away from the infected individual living with them and have ongoing unprotected exposure throughout the duration of the individual's illness, they should remain in home quarantine and be excluded from work until 14 days after the infected individual meets criteria for discontinuation of home isolation.If healthcare providers develop SARS-CoV-2 infection while they are in quarantine, they should be excluded from work until they meet all return to work criteria for healthcare providers with SARS-CoV-2 infection.Home quarantine and work exclusion of asymptomatic exposed healthcare providers who have recovered from SARS-CoV-2 infection in the prior 3 months might not be necessary. "
,Centers for Disease Control and Prevention,3/30/2021,"If a confirmatory test is performed on a person with a potential false-positive antigen test result or a potential false-negative result, what infection prevention and control (IPC) measures should be enacted while the result is pending?","When confirmatory testing is performed on a person with a potential false-positive antigen test result, IPC measures should be maintained pending the result. Additional testing of close contacts can be delayed until results of confirmatory testing are available unless symptomatic individuals are identified.For asymptomatic healthcare personnel (healthcare providers), this includes continuing exclusion from work pending confirmatory testing.For asymptomatic patients or residents, this includes placement on Transmission-Based Precautionsin a single room or, if single rooms are not available, remaining in their current room pending results of confirmatory testing. They should not be transferred to a COVID-19 unit or placed in another shared room with new roommates.Given the generally lower sensitivity of antigen tests, people with COVID-19-like symptoms who have a negative antigen test result should have a confirmatory nucleic acid amplification test (NAAT), such as reverse transcriptase polymerase chain reaction (RT-PCR), in most situations. Pending the results of confirmatory testing, maintain the following IPC measures:Patients and residents with COVID-19-like symptoms should be placed on Transmission-Based Precautions in a single room (not on the COVID-19 unit)healthcare providers with COVID-19-like symptoms should be excluded from work until the confirmatory test results are available.Despite the potential need for confirmatory testing of negative results, the initial use of antigen tests for symptomatic people is still preferred if turnaround time for a NAAT is >2 days because a positive antigen test would initiate contact tracing and implementation of IPC measures."
,Centers for Disease Control and Prevention,3/30/2021,"Using two masks at the same time, including the use of a cloth mask over a medical facemask, to improve the fit of facemasks in healthcare settings","CDC has recommended several ways to improve the fit and filtrationof masks, including covering a medical facemask with a cloth mask. However, layering masks requires special care in healthcare settings.Although a cloth mask can be used over a medical facemask to improve fit, there may be better alternatives such as framed fitters or using a knot-and-tuckapproach to achieve a good fit. If a good fit is achieved using a single medical facemask, additional approaches like adding layers to achieve a better fit might not be necessary.Cloth masks are not personal protective equipment (PPE). They should not be used in place of medical facemasks or NIOSH-approvedrespirators as part of Standard or Transmission-based Precautions.Wearing a medical facemask or cloth mask over an N95 respirator is not recommended for healthcare personnel in healthcare settings except as a contingency or crisis strategyduring extended use of N95 respirators to protect the respirator from contamination during aerosol-generating procedures or procedures that might generate splashes and sprays.Wearing a medical facemask or cloth mask under an N95 respirator is never recommended as it will interfere with the seal.In healthcare settings, medical facemasks are used by healthcare personnel for two general purposes.First, as PPE to protect a healthcare worker's nose and mouth from exposure to splashes, sprays, splatter, and respiratory secretions, such as when treating patients on Droplet Precautions. When used as PPE, medical facemasks should be removed and discarded after each patient encounter unless extended use is being practiced as part of a crisis or contingency capacity strategy.If a cloth mask is used over the medical facemask, it should be removed and launderedafter each patient encounter.Cloth masks are not PPE and should not be used alone to protect against splashes and sprays, such as when used while treating patients on Droplet Precautions.Second, for source control to cover a healthcare worker's nose and mouth to prevent spread of respiratory secretions from the healthcare worker to other people. When used for source control, medical facemasks, including cloth masks that are used to cover medical facemasks to improve the fit, may be used for the duration of a shift unless they become soiled, damaged, or hard to breathe through; medical facemasks, including cloth masks, used for source control should be removed and discarded (or laundered if a cloth mask) at least after each workday.Once put on, healthcare personnel should not touch their medical facemask or cloth mask. If they touch or adjust their medical facemask or cloth mask, they must perform hand hygiene before and after contact.If laundering at the intervals described above cannot be performed, then cloth masks should not be used by healthcare personnel in healthcare settings.*Medical facemasks are personal protective equipment (PPE) and are often referred to as surgical masks or procedure masks. Use facemasks according to product labeling and local, state, and federal requirements. FDA-cleared surgical masks are designed to protect against splashes and sprays and are prioritized for use when such exposures are anticipated, including surgical procedures. Facemasks that are not regulated by FDA, such as some procedure masks, which are typically used for isolation purposes, may not provide protection against splashes and sprays."
,Centers for Disease Control and Prevention,3/30/2021,When is someone infectious?,"The onset and duration of viral shedding and the period of infectiousness for COVID-19 are not yet known with certainty. Based on current evidence, scientists believe that persons with mild to moderate COVID-19 may shed replication-competent SARS-CoV-2 for up to 10 days following symptom onset, while a small fraction of persons with severe COVID-19, including immunocompromised persons, may shed replication-competent virus for up to 20 days. It is possible that SARS-CoV-2 RNA may be detectable in the upper or lower respiratory tract for weeks after illness onset, similar to infections with MERS-CoV and SARS-CoV. However, detection of viral RNA does not necessarily mean that infectious virus is present. Based on existing literature, the incubation period (the time from exposure to development of symptoms) of SARS-CoV-2 and other coronaviruses (e.g., MERS-CoV, SARS-CoV) ranges from 2-14 days."
